NÂº hidden neurons,Mean(ts),Std(ts),f_0(ts)
2,0.66825,0.07423400501118069,0.5197819899776386
27,0.6920000000000001,0.0731334396839093,0.5457331206321815
52,0.6937500000000001,0.06608469943943152,0.5615806011211371
77,0.68975,0.07383215762796046,0.542085684744079
102,0.68525,0.07657471841280253,0.5321005631743949
127,0.7012499999999998,0.07892836942443446,0.543393261151131
152,0.6920000000000001,0.07944180259787663,0.5331163948042468
177,0.693,0.06708949247087805,0.5588210150582439
202,0.7009999999999998,0.07664202502543889,0.5477159499491221
227,0.6987500000000001,0.0790865823006659,0.5405768353986683
252,0.70375,0.07552938170010397,0.552691236599792
277,0.6850000000000002,0.07202430145443967,0.5409513970911208
302,0.7,0.0744983221287567,0.5510033557424865
327,0.6869999999999998,0.07619711280619496,0.5346057743876099
352,0.6970000000000001,0.0791580697086532,0.5386838605826937
377,0.6922499999999999,0.07678663620709009,0.5386767275858197
402,0.704,0.07735631842325487,0.5492873631534902
427,0.701,0.0818474190185616,0.5373051619628768
452,0.6890000000000001,0.08777243302996676,0.5134551339400666
477,0.7017500000000001,0.0767508143279275,0.5482483713441451
